incident_id,case_number,incident_datetime,incident_type_primary,incident_description,clearance_type,address_1,address_2,city,state,zip,country,latitude,longitude,created_at,updated_at,location,hour_of_day,day_of_week,parent_incident_type
817027470,2017-00017694,08/30/2017 11:24:15 AM,ACCIDENT,ACCIDENT,,CENTRAL AVE,,EL CERRITO,CA,,,37.9019,-122.305,08/31/2017 07:10:23 AM,02/26/2018 06:39:20 PM,POINT (-122.305 37.9019),11,Wednesday,Traffic
770922030,2016-00017132,09/01/2016 11:10:00 PM,VC 23152 B DUI:ALCOHOL/DRUGS,VC 23152 B DUI:ALCOHOL/DRUGS,,DEER HILL RD & PLEASANT HILL RD,,LAFAYETTE,CA,94549,,37.9021734,-122.098078,09/03/2016 05:11:31 AM,11/16/2016 08:14:26 AM,POINT (-122.098078 37.9021734),23,Thursday,Traffic
768056043,2016-00015880,08/17/2016 09:26:00 AM,PC 488 PETTY THEFT $50 - $199,PC 488 PETTY THEFT $50 - $199,,100 Block CARMEL AVE,,EL CERRITO,CA,,,37.9,-122.29,08/18/2016 05:08:57 AM,09/27/2016 10:03:15 AM,POINT (-122.29 37.9),9,Wednesday,Theft
767583859,2016-00015197,08/09/2016 07:51:00 AM,PC 488 PETTY THEFT UNDER $50,PC 488 PETTY THEFT UNDER $50,,2000 Block KEY BLVD,,EL CERRITO,CA,,,37.9287,-122.319,08/12/2016 05:08:03 AM,09/27/2016 10:03:08 AM,POINT (-122.319 37.9287),7,Tuesday,Theft
768581422,2016-00015256,08/09/2016 08:09:00 PM,BURG/AUTO BURGLARY/BREAKING AND ENTERING,BURG/AUTO BURGLARY/BREAKING AND ENTERING,,11800 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9291,-122.321,08/19/2016 05:09:00 AM,09/27/2016 10:03:09 AM,POINT (-122.321 37.9291),20,Tuesday,Theft from Vehicle
767975667,2016-00015467,08/12/2016 09:39:00 AM,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,,11500 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9245,-122.318,08/17/2016 05:08:28 AM,09/27/2016 10:03:10 AM,POINT (-122.318 37.9245),9,Friday,Vehicle Recovery
769791632,2016-00016505,08/24/2016 10:25:00 PM,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,RECOVERED STOLEN VEHICLE OUT RECOVERED VEHICLE,,11400 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9226,-122.316,08/26/2016 05:09:58 AM,09/27/2016 10:03:33 AM,POINT (-122.316 37.9226),22,Wednesday,Vehicle Recovery
769683873,2016-00015991,08/18/2016 03:50:00 PM,PC 415 DISTURB THE PEACE,PC 415 DISTURB THE PEACE,,FAIRMOUNT AVE & LEXINGTON AVE,,EL CERRITO,CA,,,37.9011,-122.301,08/25/2016 05:09:53 AM,09/27/2016 10:03:16 AM,POINT (-122.301 37.9011),15,Thursday,Disorder
769432869,2016-00016020,08/18/2016 09:57:00 PM,RECOVERED PROPERTY OUT RECOVERED VEHICLE,RECOVERED PROPERTY OUT RECOVERED VEHICLE,,CUTTING BLVD & PEERLESS AVE,,EL CERRITO,CA,94530,,37.9254655,-122.3194323,08/24/2016 05:09:36 AM,09/27/2016 10:03:17 AM,POINT (-122.3194323 37.9254655),21,Thursday,Vehicle Recovery
769432870,2016-00016038,08/19/2016 08:30:00 AM,PC 488 PETTY THEFT $200 - $399,PC 488 PETTY THEFT $200 - $399,,11400 Block SAN PABLO AVE,,EL CERRITO,CA,,,37.9226,-122.316,08/24/2016 05:09:36 AM,09/27/2016 10:03:18 AM,POINT (-122.316 37.9226),8,Friday,Theft
768988082,2016-00016107,08/20/2016 12:20:00 AM,PC 647 F DISORD CONDUCT:UI/DRUG,PC 647 F DISORD CONDUCT:UI/DRUG,,1700 Block LIBERTY ST,,EL CERRITO,CA,,,37.9232,-122.314,08/23/2016 05:09:35 AM,09/27/2016 10:03:18 AM,POINT (-122.314 37.9232),0,Saturday,Disorder
770604163,2016-00016148,08/20/2016 03:05:00 PM,BURG/AUTO BURGLARY/BREAKING AND ENTERING,BURG/AUTO BURGLARY/BREAKING AND ENTERING,,6000 Block EL CERRITO PLZ,,EL CERRITO,CA,,,37.9011,-122.3,09/01/2016 05:11:05 AM,09/27/2016 10:03:19 AM,POINT (-122.3 37.9011),15,Saturday,Theft from Vehicle
